Subject,Relative Frequency,Frequency band,Condition
2,3.5012372,Alpha,NS
3,4.0299063,Alpha,NS
4,1.8596355,Alpha,NS
5,1.8234247,Alpha,NS
6,2.6264133,Alpha,NS
7,2.8574841,Alpha,NS
8,2.3068106,Alpha,NS
9,1.015543,Alpha,NS
10,1.9762404,Alpha,NS
11,0.87679625,Alpha,NS
13,2.4208233,Alpha,NS
14,3.400244,Alpha,NS
15,1.0611073,Alpha,NS
16,2.4509699,Alpha,NS
17,3.525583,Alpha,NS
18,2.9399867,Alpha,NS
19,2.813658,Alpha,NS
20,2.5309253,Alpha,NS
21,2.2774563,Alpha,NS
24,2.241004,Alpha,NS
25,1.7663662,Alpha,NS
2,3.3665924,Alpha,SR
3,3.6648927,Alpha,SR
4,1.9657937,Alpha,SR
5,1.4438789,Alpha,SR
6,2.9262238,Alpha,SR
7,3.1368494,Alpha,SR
8,2.1606605,Alpha,SR
9,0.52131701,Alpha,SR
10,1.6577358,Alpha,SR
11,0.65697789,Alpha,SR
13,1.3250167,Alpha,SR
14,2.7794485,Alpha,SR
15,1.036034,Alpha,SR
16,2.4621186,Alpha,SR
17,3.5003285,Alpha,SR
18,2.200175,Alpha,SR
19,2.7248037,Alpha,SR
20,1.0379124,Alpha,SR
21,1.9708388,Alpha,SR
24,2.1250308,Alpha,SR
25,1.2226179,Alpha,SR
2,0.83968675,Delta,NS
3,0.60484296,Delta,NS
4,1.77326,Delta,NS
5,2.0132804,Delta,NS
6,1.2062281,Delta,NS
7,1.0249366,Delta,NS
8,1.3727422,Delta,NS
9,2.3867841,Delta,NS
10,2.164238,Delta,NS
11,2.135565,Delta,NS
13,1.4292973,Delta,NS
14,0.74996388,Delta,NS
15,2.45311,Delta,NS
16,1.8448688,Delta,NS
17,0.72538042,Delta,NS
18,1.2401965,Delta,NS
19,1.3232337,Delta,NS
20,1.350847,Delta,NS
21,1.6155086,Delta,NS
24,1.6228114,Delta,NS
25,2.2112515,Delta,NS
2,0.89593905,Delta,SR
3,0.82598412,Delta,SR
4,1.4169154,Delta,SR
5,2.1767497,Delta,SR
6,0.79659057,Delta,SR
7,1.1025338,Delta,SR
8,1.6039752,Delta,SR
9,2.8893168,Delta,SR
10,2.4994252,Delta,SR
11,2.5907617,Delta,SR
13,2.400661,Delta,SR
14,1.5430155,Delta,SR
15,2.3635545,Delta,SR
16,1.8081075,Delta,SR
17,0.75310928,Delta,SR
18,1.7507699,Delta,SR
19,1.3628561,Delta,SR
20,2.3233848,Delta,SR
21,2.0813472,Delta,SR
24,1.7549623,Delta,SR
25,2.9315209,Delta,SR